"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
2003,15034.5000690999,15434.2000711735,14862.2000065891,14695.2001027336,14928.9000553063,14525.1000180859,14948.1000353061,15064.5999675191,15179.1999628738,15222.6000572389,14779.9000063149,15407.8999772795,15527.499918768,16717.9999357365,17250.0000669448,15624.6000493429,15946.0000312871,16106.300004472,17306.8001423734,17690.6999896336,17050.4999148878,16934.2999610521,16565.7001227368,17429.3000349648,17908.6999729122,16276.2999521973,16109.4000360652,15917.9000297389,15906.2001485049,16224.9000436087,14844.1000525379,14822.7999556001,14341.7000805518,14715.0000600952,15435.2000391652,13716.2000754983,13617.80001156,13181.3000378655,12481.1999891494,12550.9999882061,11657.7000275051,11627.1000216013,10834.5000515253,10704.6999564102,11055.8000676582,9712.40007057006,9741.50006518865,8979.10001301036,8704.90009141814,14939.7000622004,15439.8999707754,14769.8000548545,14325.6000318784,13896.6000541924,13274.7999590279,12772.9001663993,12437.0000463949,12274.9999252246,12261.8000438625,11467.7000039254,12053.8999673865,11981.1000664337,12886.1999879569,13358.799929394,12220.600025844,12322.9000945269,12146.7998823047,12926.3998789158,14059.9999988269,12931.4999175098,12848.9001219617,12715.6999070467,13218.4000101126,14188.600006493,12506.800032599,12641.699920678,12149.7998249459,12104.900019066,12821.9000307183,11280.6999615376,11222.2000306978,10786.4999799985,11174.3000731463,11742.1999871202,10187.2000333243,10003.4999517874,9559.29995668093,8728.49992755897,8842.49999835351,8299.79998953992,7887.39995297573,7468.00002975658,7436.19998685699,7673.90004570946,6743.19999121732,6619.90000409209,6026.3999734959,5780.19998607186
2004,14950.0000592285,15342.6000610059,14855.6000056478,14711.6000880574,14991.2000474054,14548.8000155022,14928.8000302624,15029.7999721592,15134.5999681776,15228.8000490619,14764.2000054127,15361.1999805253,15398.9999303726,16436.999944917,16990.0000573813,15368.8000422939,15696.0000268175,15765.4000038331,16795.4001220343,17169.5999911145,16456.9999270467,16413.399966616,16159.600105203,17100.4000299698,17573.5999767818,15983.3999590263,15914.200030913,15771.2000254905,15937.6001272899,16279.2000373789,15051.8000450325,15009.3999619429,14524.6000690444,14932.0000515102,15626.6000335702,13921.6000647128,13832.4000099086,13469.4000324561,12786.5999906995,12800.9999898909,11855.6000235758,11763.8000185154,11017.0000441645,10899.5999626373,11242.4000579927,9946.20006048863,9955.00005587598,9185.80001115173,8794.20007835841,14863.6000533146,15357.1999749504,14785.4000470181,14414.8000273244,14075.8000464506,13410.3999648811,12858.200142628,12518.000039767,12417.9999359068,12351.4000375964,11568.6000033647,12102.1999720456,11985.8000569432,12726.5999896773,13222.3999394806,12040.800022152,12160.200081023,11921.3998991183,12576.1998962135,13615.9999989945,12464.9999292941,12469.2001045386,12382.5999203257,12949.2000086679,13928.8000055654,12293.400027942,12475.5999320097,12015.3998499536,12143.2000163423,12951.20002633,11448.5999670322,11427.6000263124,10970.9999828559,11353.4000626969,11977.5999889602,10442.6000285637,10253.999958675,9803.39996286938,9038.99993790769,9103.99999858872,8478.39999103422,8093.19995969348,7686.00002550563,7654.59998873456,7879.20003917953,6926.59999247199,6770.20000350751,6199.1999772822,5846.5999880616
2005,14865.5000493571,15251.0000508382,14849.0000047065,14728.0000733812,15053.5000395045,14572.5000129185,14909.5000252186,14994.9999767993,15089.9999734813,15235.0000408849,14748.5000045106,15314.4999837711,15270.4999419772,16155.9999540975,16730.0000478177,15113.0000352449,15446.0000223479,15424.5000031943,16284.0001016953,16648.4999925954,15863.4999392056,15892.49997218,15753.5000876692,16771.5000249748,17238.4999806515,15690.4999658552,15719.0000257609,15624.5000212421,15969.0001060749,16333.5000311491,15259.5000375271,15195.9999682858,14707.500057537,15149.0000429252,15818.0000279752,14127.0000539274,14047.0000082571,13757.5000270468,13091.9999922496,13050.9999915758,12053.5000196465,11900.5000154295,11199.5000368038,11094.4999688644,11429.0000483273,10180.0000504072,10168.5000465633,9392.50000929311,8883.50006529868,14787.5000444288,15274.4999791253,14801.0000391818,14504.0000227703,14255.0000387088,13545.9999707342,12943.5001188567,12599.0000331392,12560.999946589,12441.0000313303,11669.5000028039,12150.4999767046,11990.5000474527,12566.9999913978,13085.9999495672,11861.00001846,11997.5000675192,11695.9999159319,12225.9999135113,13171.9999991621,11998.4999410784,12089.5000871155,12049.4999336048,12680.0000072233,13669.0000046378,12080.000023285,12309.4999433414,11880.9998749613,12181.5000136186,13080.5000219417,11616.4999725268,11633.000021927,11155.4999857132,11532.5000522474,12212.9999908001,10698.0000238031,10504.4999655625,10047.4999690578,9349.4999482564,9365.49999882394,8656.99999252851,8298.99996641124,7904.00002125469,7872.99999061212,8084.50003264961,7109.99999372666,6920.50000292293,6371.9999810685,5912.99999005134
2006,14781.0000394857,15159.4000406706,14842.4000037652,14744.4000587049,15115.8000316036,14596.2000103348,14890.2000201749,14960.1999814395,15045.399978785,15241.2000327079,14732.8000036085,15267.7999870169,15141.9999535817,15874.999963278,16470.0000382542,14857.2000281959,15196.0000178783,15083.6000025554,15772.6000813562,16127.3999940764,15269.9999513645,15371.599977744,15347.4000701353,16442.6000199799,16903.3999845212,15397.5999726842,15523.8000206087,15477.8000169937,16000.4000848599,16387.8000249193,15467.2000300216,15382.5999746286,14890.4000460296,15366.0000343401,16009.4000223801,14332.4000431419,14261.6000066057,14045.6000216374,13397.3999937997,13300.9999932606,12251.4000157172,12037.2000123436,11382.000029443,11289.3999750916,11615.6000386618,10413.8000403257,10382.0000372507,9599.20000743449,8972.80005223894,14711.4000355431,15191.7999833002,14816.6000313454,14593.2000182162,14434.2000309671,13681.5999765874,13028.8000950853,12680.0000265114,12703.9999572712,12530.6000250643,11770.4000022431,12198.7999813637,11995.2000379621,12407.3999931182,12949.5999596537,11681.200014768,11834.8000540154,11470.5999327455,11875.799930809,12727.9999993297,11531.9999528627,11709.8000696924,11716.3999468838,12410.8000057786,13409.2000037103,11866.600018628,12143.3999546731,11746.5998999691,12219.8000108949,13209.8000175534,11784.3999780215,11838.4000175416,11339.9999885706,11711.6000417979,12448.3999926401,10953.4000190424,10754.99997245,10291.5999752463,9659.99995860512,9626.99999905914,8835.5999940228,8504.79997312898,8122.00001700376,8091.39999248972,8289.80002611969,7293.39999498132,7070.80000233834,6544.79998485481,5979.39999204107
2007,14696.5000296142,15067.8000305029,14835.8000028239,14760.8000440287,15178.1000237027,14619.9000077511,14870.9000151312,14925.3999860796,15000.7999840888,15247.4000245309,14717.1000027064,15221.0999902626,15013.4999651863,15593.9999724585,16210.0000286906,14601.4000211469,14946.0000134088,14742.7000019166,15261.2000610172,15606.2999955573,14676.4999635234,14850.699983308,14941.3000526015,16113.7000149849,16568.2999883909,15104.6999795131,15328.6000154565,15331.1000127452,16031.8000636449,16442.1000186895,15674.9000225162,15569.1999809715,15073.3000345222,15583.0000257551,16200.8000167851,14537.8000323564,14476.2000049543,14333.7000162281,13702.7999953497,13550.9999949455,12449.3000117879,12173.9000092577,11564.5000220823,11484.2999813187,11802.2000289964,10647.6000302443,10595.500027938,9805.90000557588,9062.10003917922,14635.3000266573,15109.0999874752,14832.2000235091,14682.4000136622,14613.4000232253,13817.1999824405,13114.100071314,12761.0000198835,12846.9999679534,12620.2000187982,11871.3000016823,12247.0999860228,11999.9000284716,12247.7999948387,12813.1999697403,11501.400011076,11672.1000405115,11245.1999495591,11525.5999481068,12283.9999994973,11065.499964647,11330.1000522693,11383.2999601629,12141.600004334,13149.4000027827,11653.200013971,11977.2999660048,11612.1999249768,12258.1000081711,13339.100013165,11952.2999835161,12043.8000131562,11524.4999914279,11890.7000313484,12683.7999944801,11208.8000142818,11005.4999793375,10535.6999814347,9970.49996895385,9888.49999929436,9014.1999955171,8710.59997984673,8340.00001275281,8309.79999436728,8495.10001958978,7476.799996236,7221.10000175376,6717.5999886411,6045.79999403079
2008,14612.0000197428,14976.2000203353,14829.2000018826,14777.2000293525,15240.4000158018,14643.6000051674,14851.6000100875,14890.5999907197,14956.1999893925,15253.600016354,14701.4000018042,15174.3999935084,14884.9999767909,15312.999981639,15950.0000191271,14345.600014098,14696.0000089392,14401.8000012777,14749.8000406781,15085.1999970382,14082.9999756822,14329.799988872,14535.2000350677,15784.8000099899,16233.1999922606,14811.7999863421,15133.4000103044,15184.4000084968,16063.20004243,16496.4000124596,15882.6000150108,15755.7999873143,15256.2000230148,15800.0000171701,16392.2000111901,14743.2000215709,14690.8000033029,14621.8000108187,14008.1999968998,13800.9999966303,12647.2000078586,12310.6000061718,11747.0000147215,11679.1999875458,11988.8000193309,10881.4000201629,10809.0000186253,10012.6000037172,9151.40002611947,14559.2000177715,15026.3999916501,14847.8000156727,14771.6000091081,14792.6000154835,13952.7999882937,13199.4000475427,12842.0000132557,12989.9999786356,12709.8000125321,11972.2000011215,12295.3999906819,12004.6000189811,12088.1999965591,12676.7999798269,11321.600007384,11509.4000270077,11019.7999663728,11175.3999654045,11839.9999996648,10598.9999764314,10950.4000348462,11050.1999734419,11872.4000028893,12889.6000018551,11439.800009314,11811.1999773366,11477.7999499845,12296.4000054474,13468.4000087767,12120.1999890107,12249.2000087708,11708.9999942853,12069.8000208989,12919.19999632,11464.2000095212,11255.999986225,10779.7999876231,10280.9999793026,10149.9999995296,9192.79999701141,8916.3999865645,8558.00000850188,8528.19999624485,8700.40001305983,7660.19999749066,7371.40000116918,6890.3999924274,6112.19999602053
2009,14527.5000098714,14884.6000101676,14822.6000009413,14793.6000146762,15302.7000079009,14667.3000025837,14832.3000050437,14855.7999953599,14911.5999946963,15259.800008177,14685.7000009021,15127.6999967542,14756.4999883954,15031.9999908195,15690.0000095635,14089.800007049,14446.0000044696,14060.9000006389,14238.4000203391,14564.0999985191,13489.4999878411,13808.899994436,14129.1000175338,15455.900004995,15898.0999961303,14518.899993171,14938.2000051522,15037.7000042484,16094.600021215,16550.7000062298,16090.3000075054,15942.3999936572,15439.1000115074,16017.000008585,16583.600005595,14948.6000107855,14905.4000016514,14909.9000054094,14313.5999984499,14050.9999983152,12845.1000039293,12447.3000030859,11929.5000073608,11874.0999937729,12175.4000096654,11115.2000100814,11022.5000093127,10219.3000018586,9240.70001305973,14483.1000088858,14943.6999958251,14863.4000078364,14860.8000045541,14971.8000077418,14088.3999941469,13284.7000237713,12923.0000066278,13132.9999893178,12799.4000062661,12073.1000005608,12343.6999953409,12009.3000094905,11928.5999982796,12540.3999899134,11141.800003692,11346.7000135038,10794.3999831864,10825.1999827023,11395.9999998324,10132.4999882157,10570.7000174231,10717.099986721,11603.2000014447,12629.8000009276,11226.400004657,11645.0999886683,11343.3999749923,12334.7000027237,13597.7000043883,12288.0999945054,12454.6000043854,11893.4999971426,12248.9000104495,13154.59999816,11719.6000047606,11506.4999931125,11023.8999938116,10591.4999896513,10411.4999997648,9371.39999850571,9122.19999328224,8776.00000425094,8746.59999812243,8905.70000652993,7843.59999874533,7521.70000058459,7063.19999621369,6178.59999801026
2010,14443,14793,14816,14810,15365,14691,14813,14821,14867,15266,14670,15081,14628,14751,15430,13834,14196,13720,13727,14043,12896,13288,13723,15127,15563,14226,14743,14891,16126,16605,16298,16129,15622,16234,16775,15154,15120,15198,14619,14301,13043,12584,12112,12069,12362,11349,11236,10426,9330,14407,14861,14879,14950,15151,14224,13370,13004,13276,12889,12174,12392,12014,11769,12404,10962,11184,10569,10475,10952,9666,10191,10384,11334,12370,11013,11479,11209,12373,13727,12456,12660,12078,12428,13390,11975,11757,11268,10902,10673,9550,9328,8994,8965,9111,8027,7672,7236,6245
2011,14488.9692704319,14830.0823439773,14857.8846038662,14858.3812745679,15419.4414707166,14738.1917808982,14859.4313553638,14856.6333830937,14915.6527145841,15299.2272673748,14709.7445561354,15128.7840191293,14670.6773513449,14787.5252628127,15479.699809802,13875.8814339852,14232.6094884432,13754.9309760663,13768.3662537685,14089.4460615966,12934.125617749,13324.0615140646,13762.4073473022,15157.8121569353,15605.8276977387,14263.8789338819,14790.3423685678,14928.901279691,16179.5584040183,16651.3421617964,16344.0436935113,16166.6992476028,15650.0203485592,16273.53913035,16826.0124710242,15184.2000372389,15165.3521604731,15244.8047842074,14656.3047786677,14333.9734998291,13089.2889931808,12623.4339704948,12137.6766486653,12108.1077051367,12394.0434627556,11382.1636380642,11268.7054089206,10456.2728047283,9350.15169117054,14441.9075013984,14895.7041719903,14911.1370896522,14985.9517793905,15169.7594568369,14247.6814906184,13389.4884781771,13026.4415575533,13304.3763457997,12925.8573999797,12193.1588094163,12417.0362281516,12034.7324901185,11798.4278125615,12423.2704686228,10991.9164035457,11225.1085695533,10593.3230566427,10516.0685413108,10972.214612951,9707.32446099401,10220.1376800793,10402.4817905525,11369.0894788971,12393.4057379274,11010.968061176,11508.0115785087,11227.9327919521,12392.7627866798,13759.7572545939,12480.3607268974,12683.9970906306,12098.99122495,12451.7188606583,13417.4913144279,11998.9204225209,11779.617625466,11300.6652662386,10918.4251349075,10702.3001749038,9577.30855884237,9355.12553141845,9019.87532266975,8986.44142227918,9128.81079043972,8045.77539511716,7689.42262829644,7255.33081757368,6262.65115994245
2012,14534.9385408639,14867.1646879546,14899.7692077324,14906.7625491357,15473.8829414332,14785.3835617964,14905.8627107276,14892.2667661874,14964.3054291681,15332.4545347495,14749.4891122709,15176.5680382586,14713.3547026898,14824.0505256255,15529.399619604,13917.7628679703,14269.2189768864,13789.8619521326,13809.732507537,14135.8921231931,12972.251235498,13360.1230281293,13801.8146946044,15188.6243138705,15648.6553954773,14301.7578677638,14837.6847371357,14966.802559382,16233.1168080365,16697.6843235928,16390.0873870227,16204.3984952057,15678.0406971184,16313.0782607,16877.0249420484,15214.4000744778,15210.7043209462,15291.6095684149,14693.6095573354,14366.9469996581,13135.5779863617,12662.8679409897,12163.3532973306,12147.2154102734,12426.0869255112,11415.3272761284,11301.4108178412,10486.5456094566,9370.30338234108,14476.8150027968,14930.4083439806,14943.2741793045,15021.903558781,15188.5189136738,14271.3629812369,13408.9769563542,13048.8831151066,13332.7526915995,12962.7147999594,12212.3176188326,12442.0724563032,12055.4649802371,11827.855625123,12442.5409372456,11021.8328070913,11266.2171391067,10617.6461132855,10557.1370826217,10992.4292259021,9748.64892198802,10249.2753601586,10420.963581105,11404.1789577943,12416.8114758548,11008.9361223519,11537.0231570174,11246.8655839042,12412.5255733596,13792.5145091878,12504.7214537948,12707.9941812613,12119.9824498999,12475.4377213167,13444.9826288558,12022.8408450418,11802.235250932,11333.3305324772,10934.850269815,10731.6003498077,9604.61711768474,9382.25106283689,9045.7506453395,9007.88284455834,9146.62158087943,8064.55079023431,7706.84525659287,7274.66163514733,6280.3023198849
