"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
2003,16904.6000840696,17482.4001682822,17801.1000556374,18184.3001712478,18813.6001544292,18551.3000451844,19013.0000020188,19276.5000880959,19388.7999261858,19647.8999842353,19000.3000128244,19631.8000057289,19545.3999869458,20395.1999707365,20497.3000245844,19026.0000750075,19366.0999235851,18649.6000498958,18980.0000982945,19307.0000822822,18651.1999977623,18042.9999534918,17448.2999233312,17695.7001480749,17869.5000848128,16390.6001026106,16308.4000433827,15808.7001123812,15747.6000802128,15959.8000850673,14707.2001427319,14403.7000818703,13736.5002348267,14027.0000695325,14415.8001072399,12928.3000782918,12709.6000443002,12156.500053273,11605.600160721,11074.4001331189,10472.4001588163,10388.8000976062,9335.8000207947,9331.90011296993,9513.7000402564,8760.39998931835,8399.40004578797,7921.30002491281,7570.60003304958,17684.0001752423,18856.300128094,19204.200060434,19837.200018858,19948.8000240741,19647.3999583355,19806.1001363095,19609.2000256663,20010.1999969078,19907.3999939506,18972.1999765935,19673.8999115668,19185.5000407898,20306.699971282,20438.7999259217,18656.2999535822,18835.7998047608,17943.999972478,18376.8998881978,18874.7998746097,17418.9998809668,16859.999976596,16258.7998931128,16492.3999132951,16849.3998653441,14860.6000401112,14573.9999392413,13969.6999833085,13783.6999650302,13905.8999603382,12581.6001348199,11976.6000461362,11737.6000096101,11857.40003011,11957.9000074062,10496.600092515,10379.7000324255,9908.00000977057,9517.50010968577,8914.80002161542,8249.10007700607,8141.80006055107,7556.20003418434,7401.29996608901,7487.90008049898,6838.80003308709,6584.9000269961,5931.1000181432,5634.60000255909
2004,17126.8000720596,17666.2001442419,17986.8000476892,18389.4001467839,18984.8001323679,18676.4000387295,19047.0000017304,19319.0000755108,19482.3999367306,19749.1999864874,19109.4000109924,19747.4000049104,19671.1999888107,20320.599974917,20579.4000210723,19034.0000642921,19327.7999345015,18597.8000427678,18798.0000842525,19122.0000705276,18407.5999980819,17906.9999601358,17326.3999342839,17722.6001269213,17856.0000726967,16436.8000879519,16430.2000371852,15913.6000963267,15929.8000687538,16157.4000729148,15024.6001223416,14690.6000701746,14050.00020128,14272.0000595992,14669.4000919199,13225.4000671072,12973.8000379716,12467.0000456626,11946.8001377608,11498.2001141019,10833.2001361283,10647.4000836625,9684.40001782404,9674.20009683136,9853.60003450549,9038.19999084428,8689.20003924684,8223.40002135384,7810.80002832821,17883.0001502077,18983.4001097948,19400.6000518005,20082.600016164,20216.4000206349,19837.1999642875,19958.8001168367,19743.6000219997,20230.5999973496,20112.1999948148,19157.5999799373,19887.1999242001,19377.0000349626,20336.5999753845,20551.3999365043,18698.3999602133,18858.3998326521,17925.9999764097,18272.1999041695,18790.3998925226,17289.9998979715,16809.9999799394,16281.3999083824,16589.1999256816,16947.1998845807,15015.8000343811,14742.9999479211,14152.599985693,14046.5999700259,14188.1999660042,12936.8001155599,12301.8000395453,12045.8000082372,12135.2000258085,12256.2000063482,10773.8000792986,10662.6000277933,10181.0000083748,9800.00009401639,9272.4000185275,8507.8000660052,8349.40005190093,7806.60002930086,7649.39997093343,7704.20006899914,7033.40002836036,6801.20002313951,6138.8000155513,5809.80000219351
2005,17349.0000600497,17850.0001202016,18172.500039741,18594.5001223199,19156.0001103066,18801.5000322746,19081.000001442,19361.5000629256,19575.9999472755,19850.4999887395,19218.5000091603,19863.000004092,19796.9999906756,20245.9999790975,20661.5000175603,19042.0000535768,19289.4999454179,18546.0000356398,18616.0000702104,18937.000058773,18163.9999984016,17770.9999667798,17204.4999452366,17749.5001057678,17842.5000605806,16483.0000732933,16552.0000309877,16018.5000802723,16112.0000572949,16355.0000607623,15342.0001019514,14977.5000584788,14363.5001677334,14517.000049666,14923.0000765999,13522.5000559227,13238.000031643,12777.5000380522,12288.0001148007,11922.0000950849,11194.0001134402,10906.0000697187,10033.0000148534,10016.5000806928,10193.5000287546,9315.99999237023,8979.0000327057,8525.50001779486,8051.00002360684,18082.0001251731,19110.5000914957,19597.0000431671,20328.00001347,20484.0000171958,20026.9999702396,20111.5000973639,19878.0000183331,20450.9999977913,20316.999995679,19342.9999832811,20100.4999368334,19568.5000291355,20366.4999794871,20663.9999470869,18740.4999668444,18880.9998605434,17907.9999803414,18167.4999201412,18705.9999104355,17160.9999149763,16759.9999832828,16303.999923652,16685.999938068,17044.9999038172,15171.0000286509,14911.9999566009,14335.4999880775,14309.4999750216,14470.4999716702,13292.0000962999,12627.0000329544,12354.0000068643,12413.0000215071,12554.5000052901,11051.0000660821,10945.5000231611,10454.000006979,10082.500078347,9630.00001543959,8766.50005500434,8557.00004325077,8057.00002441738,7897.49997577787,7920.50005749928,7228.00002363364,7017.50001928294,6346.50001295942,5985.00000182792
2006,17571.2000480398,18033.8000961613,18358.2000317928,18799.6000978559,19327.2000882453,18926.6000258196,19115.0000011536,19404.0000503405,19669.5999578204,19951.7999909916,19327.6000073282,19978.6000032736,19922.7999925405,20171.399983278,20743.6000140482,19050.0000428614,19251.1999563343,18494.2000285119,18434.0000561683,18752.0000470184,17920.3999987213,17634.9999734239,17082.5999561893,17776.4000846142,17829.0000484644,16529.2000586346,16673.8000247901,16123.4000642178,16294.2000458359,16552.6000486099,15659.4000815611,15264.4000467831,14677.0001341867,14762.0000397328,15176.6000612799,13819.6000447382,13502.2000253144,13088.0000304417,12629.2000918406,12345.8000760679,11554.8000907522,11164.600055775,10381.6000118827,10358.8000645542,10533.4000230037,9593.79999389619,9268.80002616456,8827.60001423589,8291.20001888548,18281.0001001384,19237.6000731966,19793.4000345337,20573.400010776,20751.6000137566,20216.7999761917,20264.2000778912,20012.4000146664,20671.399998233,20521.7999965432,19528.3999866249,20313.7999494668,19760.0000233084,20396.3999835897,20776.5999576695,18782.5999734755,18903.5998884348,17889.9999842731,18062.799936113,18621.5999283484,17031.999931981,16709.9999866263,16326.5999389216,16782.7999504544,17142.7999230538,15326.2000229207,15080.9999652808,14518.399990462,14572.3999800173,14752.7999773361,13647.2000770399,12952.2000263635,12662.2000054915,12690.8000172057,12852.8000042321,11328.2000528657,11228.4000185289,10727.0000055832,10365.0000626776,9987.60001235166,9025.20004400347,8764.60003460061,8307.4000195339,8145.59998062228,8136.80004599943,7422.6000189069,7233.80001542633,6554.20001036753,6160.20000146234
2007,17793.4000360298,18217.600072121,18543.9000238446,19004.7000733919,19498.400066184,19051.7000193647,19149.0000008652,19446.5000377554,19763.1999683653,20053.0999932437,19436.7000054962,20094.2000024552,20048.5999944053,20096.7999874585,20825.7000105362,19058.0000321461,19212.8999672508,18442.4000213839,18252.0000421262,18567.0000352638,17676.799999041,17498.9999800679,16960.699967142,17803.3000634607,17815.5000363483,16575.400043976,16795.6000185926,16228.3000481634,16476.4000343769,16750.2000364574,15976.8000611708,15551.3000350873,14990.50010064,15007.0000297996,15430.20004596,14116.7000335536,13766.4000189858,13398.5000228313,12970.4000688804,12769.600057051,11915.6000680641,11423.2000418312,10730.200008912,10701.1000484157,10873.3000172527,9871.59999542215,9558.60001962342,9129.70001067692,8531.4000141641,18480.0000751038,19364.7000548974,19989.8000259003,20818.800008082,21019.2000103175,20406.5999821438,20416.9000584184,20146.8000109998,20891.7999986748,20726.5999974074,19713.7999899687,20527.0999621001,19951.5000174813,20426.2999876923,20889.1999682521,18824.6999801066,18926.1999163261,17871.9999882048,17958.0999520847,18537.1999462613,16902.9999489858,16659.9999899697,16349.1999541912,16879.5999628408,17240.5999422903,15481.4000171905,15249.9999739606,14701.2999928465,14835.299985013,15035.0999830021,14002.40005778,13277.4000197727,12970.4000041186,12968.6000129043,13151.1000031741,11605.4000396493,11511.3000138967,11000.0000041874,10647.5000470082,10345.2000092638,9283.90003300261,8972.20002595047,8557.80001465043,8393.69998546672,8353.10003449956,7617.20001418018,7450.10001156976,6761.90000777565,6335.40000109675
2008,18015.6000240199,18401.4000480806,18729.6000158964,19209.8000489279,19669.6000441226,19176.8000129098,19183.0000005768,19489.0000251702,19856.7999789102,20154.3999954958,19545.8000036641,20209.8000016368,20174.3999962702,20022.199991639,20907.8000070241,19066.0000214307,19174.5999781672,18390.6000142559,18070.0000280842,18382.0000235092,17433.1999993606,17362.9999867119,16838.7999780946,17830.2000423071,17802.0000242322,16621.6000293173,16917.4000123951,16333.2000321089,16658.6000229179,16947.8000243049,16294.2000407806,15838.2000233915,15304.0000670933,15252.0000198664,15683.80003064,14413.8000223691,14030.6000126572,13709.0000152208,13311.6000459203,13193.400038034,12276.4000453761,11681.8000278875,11078.8000059413,11043.4000322771,11213.2000115018,10149.3999969481,9848.40001308227,9431.80000711795,8771.60000944273,18679.0000500692,19491.8000365983,20186.2000172669,21064.200005388,21286.8000068783,20596.3999880958,20569.6000389456,20281.2000073332,21112.1999991165,20931.3999982716,19899.1999933124,20740.3999747334,20143.0000116542,20456.1999917948,21001.7999788348,18866.7999867378,18948.7999442174,17853.9999921366,17853.3999680565,18452.7999641742,16773.9999659905,16609.9999933131,16371.7999694608,16976.3999752272,17338.3999615269,15636.6000114604,15418.9999826404,14884.199995231,15098.1999900086,15317.3999886681,14357.60003852,13602.6000131818,13278.6000027457,13246.4000086029,13449.4000021161,11882.6000264328,11794.2000092644,11273.0000027916,10930.0000313388,10702.8000061758,9542.60002200173,9179.80001730032,8808.20000976695,8641.79999031114,8569.40002299971,7811.80000945345,7666.40000771317,6969.60000518376,6510.60000073117
2009,18237.8000120099,18585.2000240403,18915.3000079482,19414.900024464,19840.8000220613,19301.9000064549,19217.0000002884,19531.5000125851,19950.3999894551,20255.6999977479,19654.9000018321,20325.4000008184,20300.1999981351,19947.5999958195,20989.900003512,19074.0000107154,19136.2999890836,18338.800007128,17888.0000140421,18197.0000117546,17189.5999996803,17226.999993356,16716.8999890473,17857.1000211536,17788.5000121161,16667.8000146586,17039.2000061975,16438.1000160544,16840.800011459,17145.4000121525,16611.6000203903,16125.1000116958,15617.5000335467,15497.0000099332,15937.40001532,14710.9000111845,14294.8000063286,14019.5000076104,13652.8000229601,13617.200019017,12637.200022688,11940.4000139437,11427.4000029707,11385.7000161386,11553.1000057509,10427.199998474,10138.2000065411,9733.90000355898,9011.80000472137,18878.0000250346,19618.9000182992,20382.6000086334,21309.600002694,21554.4000034392,20786.1999940479,20722.3000194728,20415.6000036666,21332.5999995583,21136.1999991358,20084.5999966562,20953.6999873667,20334.5000058271,20486.0999958974,21114.3999894174,18908.8999933689,18971.3999721087,17835.9999960683,17748.6999840282,18368.3999820871,16644.9999829953,16559.9999966566,16394.3999847304,17073.1999876136,17436.1999807634,15791.8000057302,15587.9999913202,15067.0999976155,15361.0999950043,15599.699994334,14712.80001926,13927.8000065909,13586.8000013729,13524.2000043014,13747.700001058,12159.8000132164,12077.1000046322,11546.0000013958,11212.5000156694,11060.4000030879,9801.30001100087,9387.40000865014,9058.60000488347,8889.89999515558,8785.70001149985,8006.40000472674,7882.70000385659,7177.30000259188,6685.80000036558
2010,18460,18769,19101,19620,20012,19427,19251,19574,20044,20357,19764,20441,20426,19873,21072,19082,19098,18287,17706,18012,16946,17091,16595,17884,17775,16714,17161,16543,17023,17343,16929,16412,15931,15742,16191,15008,14559,14330,13994,14041,12998,12199,11776,11728,11893,10705,10428,10036,9252,19077,19746,20579,21555,21822,20976,20875,20550,21553,21341,20270,21167,20526,20516,21227,18951,18994,17818,17644,18284,16516,16510,16417,17170,17534,15947,15757,15250,15624,15882,15068,14253,13895,13802,14046,12437,12360,11819,11495,11418,10060,9595,9309,9138,9002,8201,8099,7385,6861
2011,18614.7929881685,18939.6198811567,19264.5985969978,19770.5684276097,20174.3878529194,19585.1493757858,19415.3264771602,19739.4238982117,20209.0277340711,20526.875830219,19931.0575605461,20607.4994625578,20609.6448573767,20046.8485996788,21252.3195518775,19263.6454371589,19276.3867228036,18467.6535060203,17871.5049234741,18175.7179223888,17108.3670792967,17255.5714901922,16751.4268111711,18056.8461524672,17949.5173411876,16867.0904117138,17331.4870997442,16714.4239352553,17186.7648063288,17517.7567351676,17083.7313781406,16563.8187259764,16104.8837790033,15882.5684530834,16344.4917770601,15142.2902539244,14694.9846889325,14468.1614116318,14133.0331928517,14164.8704669813,13116.0268529854,12314.9758356531,11885.1468214856,11843.4494711907,12001.8020279372,10808.3337692376,10533.4918352483,10131.6630612407,9328.33232275895,19235.9512722739,19907.0397403357,20731.7993203617,21716.3399976655,21996.6277065464,21131.9052926594,21015.3199156632,20680.7063204192,21699.3206039009,21480.6343839463,20407.7582732603,21315.981404947,20682.0708309815,20662.7606871852,21372.7422865069,19089.8432831651,19135.2931420644,17946.0951928277,17787.6087200129,18427.7320266068,16649.3323047683,16649.8518650132,16540.6131779991,17312.4582465172,17675.918904054,16074.7869000056,15893.6113642152,15393.7460922354,15746.0172666776,16016.0580649588,15211.8947817899,14370.8381499881,14015.536170948,13918.8843747123,14180.2815305775,12544.8079692597,12470.1115463862,11915.786487032,11604.2129891762,11519.6502643355,10142.2347057387,9676.70275405791,9397.85938223376,9206.52688199536,9075.73022522744,8269.48325942306,8175.00482019958,7452.24970063527,6923.52689617621
2012,18769.5859763369,19110.2397623135,19428.1971939955,19921.1368552193,20336.7757058388,19743.2987515715,19579.6529543204,19904.8477964235,20374.0554681422,20696.751660438,20098.1151210921,20773.9989251157,20793.2897147535,20220.6971993576,21432.639103755,19445.2908743178,19454.7734456072,18648.3070120406,18037.0098469482,18339.4358447775,17270.7341585933,17420.1429803845,16907.8536223421,18229.6923049344,18124.0346823752,17020.1808234277,17501.9741994884,16885.8478705107,17350.5296126576,17692.5134703353,17238.4627562812,16715.6374519528,16278.7675580067,16023.1369061667,16497.9835541202,15276.5805078487,14830.969377865,14606.3228232636,14272.0663857034,14288.7409339625,13234.0537059709,12430.9516713063,11994.2936429713,11958.8989423814,12110.6040558744,10911.6675384753,10638.9836704965,10227.3261224815,9404.66464551789,19394.9025445479,20068.0794806715,20884.5986407234,21877.6799953309,22171.2554130929,21287.8105853187,21155.6398313265,20811.4126408385,21845.6412078019,21620.2687678926,20545.5165465206,21464.962809894,20838.141661963,20809.5213743704,21518.4845730138,19228.6865663302,19276.5862841288,18074.1903856555,17931.2174400259,18571.4640532136,16782.6646095365,16789.7037300264,16664.2263559983,17454.9164930343,17817.837808108,16202.5738000112,16030.2227284303,15537.4921844708,15868.0345333552,16150.1161299176,15355.7895635797,14488.6762999761,14136.072341896,14035.7687494245,14314.5630611551,12652.6159385194,12580.2230927724,12012.572974064,11713.4259783523,11621.300528671,10224.4694114775,9758.40550811583,9486.71876446753,9275.0537639907,9149.46045045486,8337.96651884613,8251.00964039916,7519.49940127054,6986.0537923524
