"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
2003,11296.3999202204,11566.1999537508,12585.8999326047,14327.2999165994,14992.4999224181,15147.1999202348,18657.1999232578,22238.0998666183,24243.5999171165,26124.3998877164,24302.6999789428,25256.3999115264,25492.5000023634,26449.79992216,27132.0999250417,23081.8999055037,22494.2000106166,21223.9998971539,20754.3998606694,21668.6998314647,19631.9997977089,19132.7998147994,19288.2997492017,19637.0997922134,20888.1996305359,18562.9997761776,19163.7997692421,18627.4998155881,18502.3998568387,19869.8997045015,18665.4998215949,18814.2998143841,18949.0997432338,19292.6997741602,20651.6998169188,19647.7997680079,20850.8997970466,20764.7997674295,17753.2998363332,17826.7997769886,16905.2997969285,17512.3997205066,16364.3999162051,15820.7998444621,16672.7999624438,15738.7998639632,16202.1998937102,15216.3999341771,13845.399950148,12219.5999610232,12369.099860292,12702.8999147414,13918.6998249212,14485.2996719195,14351.8998763734,16460.8000326483,19511.4998450043,21261.0000477367,23328.8998466723,22806.4999807647,23799.4998697198,25176.4998705542,26121.4998682741,27899.6998388207,24088.7997296533,23633.6997601717,22809.9998959067,22428.5998246853,24338.3998563675,21495.4999285665,20836.4998366936,21059.5997973238,21034.8997213604,23096.1996197491,19624.2997214875,19581.0997981449,18913.4997658588,19253.2997840583,20960.2997343829,18545.1997288207,18939.7998237526,18544.1998655109,18699.9998335442,20152.9997930772,18358.49990647,19252.9997204006,18954.8999008757,16189.2998196023,16317.7998013549,15217.3999035292,15835.9996917634,14493.9999083783,13974.3999152199,14714.4999047659,13624.3000003575,14043.1999041834,13344.299827283,11827.3999217931
2004,11194.1999316175,11455.5999603579,12611.1999422326,14373.3999285138,15072.9999335012,15280.5999316298,18868.599934221,22627.7998856728,24762.799928957,26672.1999037569,24884.599981951,25761.1999241655,25815.0000020258,26489.39993328,27082.79993575,23114.1999190032,22527.6000091,21248.9999118462,20672.1998805738,21489.5998555412,19355.9998266076,18883.3998412566,19063.39978503,19446.7998218972,20622.5996833165,18254.9998081522,18723.3998022075,18193.9998419326,18080.1998772903,19404.1997467156,18317.9998470813,18406.3998409007,18598.7997799147,18988.5998064231,20318.5998430732,19303.3998011496,20460.1998260399,20371.3998006538,17819.3998597142,17995.3998088474,17071.3998259387,17613.1997604343,16652.1999281758,16133.3998666818,16990.399967809,16143.399883397,16660.5999088944,15768.1999435804,13961.1999572697,12088.7999665913,12280.7998802503,12649.1999269212,13874.5998499325,14483.3997187881,14389.1998940343,16580.4000279843,19678.9998671465,21563.0000409171,23601.1998685763,23158.9999835126,24114.9998883312,25305.9998890465,26040.9998870921,27733.5998618464,24097.3997682742,23632.5997944329,22748.9999107771,22243.7998497303,24016.1998768865,21166.9999387713,20582.9998600231,20848.7998262775,20905.1997611661,22849.5996740707,19398.399761275,19285.7998269813,18669.9997993075,18995.3998149071,20695.3997723282,18420.5997675606,18731.3998489308,18415.5998847236,18573.9998573236,20031.9998226376,18233.9999198314,19028.9997603433,18720.1999150363,16432.3998453734,16624.3998297328,15482.1999173107,16036.9997357972,14801.9999214671,14329.1999273313,15056.9999183708,13997.4000003065,14491.5999178715,13852.3998519568,11918.1999329655
2005,11091.9999430146,11344.9999669649,12636.4999518605,14419.4999404282,15153.4999445844,15413.9999430248,19079.9999451842,23017.4999047273,25281.9999407975,27219.9999197974,25466.4999849591,26265.9999368046,26137.5000016881,26528.9999444,27033.4999464583,23146.4999325027,22561.0000075833,21273.9999265385,20589.9999004782,21310.4998796177,19079.9998555064,18633.9998677139,18838.4998208583,19256.499851581,20356.9997360971,17946.9998401269,18282.9998351729,17760.4998682772,17657.9998977419,18938.4997889296,17970.4998725678,17998.4998674172,18248.4998165955,18684.4998386859,19985.4998692277,18958.9998342913,20069.4998550333,19977.9998338782,17885.4998830952,18163.9998407062,17237.4998549489,17713.9998003619,16939.9999401465,16445.9998889015,17307.9999731741,16547.9999028309,17118.9999240787,16319.9999529837,14076.9999643914,11957.9999721595,12192.4999002086,12595.499939101,13830.4998749437,14481.4997656568,14426.4999116952,16700.0000233202,19846.4998892888,21865.0000340976,23873.4998904802,23511.4999862605,24430.4999069427,25435.4999075387,25960.4999059101,27567.499884872,24105.9998068952,23631.4998286941,22687.9999256476,22058.9998747752,23693.9998974054,20838.4999489761,20329.4998833526,20637.9998552313,20775.4998009717,22602.9997283922,19172.4998010625,18990.4998558178,18426.4998327562,18737.4998457559,20430.4998102735,18295.9998063005,18522.999874109,18286.9999039363,18447.999881103,19910.999852198,18109.4999331929,18804.9998002861,18485.499929197,16675.4998711445,16930.9998581106,15746.9999310923,16237.999779831,15109.9999345559,14683.9999394428,15399.4999319756,14370.5000002554,14939.9999315596,14360.4998766307,12008.9999441379
2006,10989.7999544117,11234.3999735719,12661.7999614884,14465.5999523425,15233.9999556675,15547.3999544199,19291.3999561473,23407.1999237819,25801.199952638,27767.799935838,26048.3999879673,26770.7999494436,26460.0000013505,26568.59995552,26984.1999571667,23178.7999460021,22594.4000060667,21298.9999412308,20507.7999203825,21131.3999036941,18803.9998844051,18384.5998941711,18613.5998566867,19066.1998812648,20091.3997888777,17638.9998721015,17842.5998681383,17326.9998946218,17235.7999181935,18472.7998311437,17622.9998980542,17590.5998939338,17898.1998532764,18380.3998709487,19652.3998953822,18614.5998674331,19678.7998840266,19584.5998671026,17951.5999064761,18332.5998725649,17403.5998839591,17814.7998402895,17227.7999521172,16758.5999111212,17625.5999785393,16952.5999222647,17577.399939263,16871.7999623869,14192.7999715131,11827.1999777276,12104.1999201669,12541.7999512808,13786.399899955,14479.5998125254,14463.7999293562,16819.6000186562,20013.999911431,22167.0000272781,24145.7999123842,23863.9999890084,24745.9999255542,25564.999926031,25879.999924728,27401.3999078975,24114.5998455161,23630.3998629552,22626.9999405181,21874.1998998202,23371.7999179243,20509.9999591809,20075.9999066821,20427.199884185,20645.7998407774,22356.3997827138,18946.59984085,18695.1998846542,18182.999866205,18479.5998766047,20165.5998482188,18171.3998450404,18314.5998992872,18158.3999231491,18321.9999048824,19789.9998817584,17984.9999465543,18580.9998402289,18250.7999433575,16918.5998969156,17237.5998864885,16011.7999448738,16438.9998238648,15417.9999476447,15038.7999515542,15741.9999455805,14743.6000002043,15388.3999452477,14868.5999013046,12099.7999553103
2007,10887.5999658087,11123.7999801789,12687.0999711163,14511.6999642569,15314.4999667506,15680.7999658149,19502.7999671105,23796.8999428364,26320.3999644785,28315.5999518785,26630.2999909755,27275.5999620828,26782.5000010129,26608.19996664,26934.899967875,23211.0999595016,22627.80000455,21323.9999559231,20425.5999402869,20952.2999277706,18527.9999133038,18135.1999206283,18388.699892515,18875.8999109486,19825.7998416582,17330.9999040761,17402.1999011037,16893.4999209663,16813.5999386452,18007.0998733578,17275.4999235407,17182.6999204503,17547.8998899573,18076.2999032115,19319.2999215366,18270.1999005748,19288.09991302,19191.1999003269,18017.6999298571,18501.1999044237,17569.6999129694,17915.5998802171,17515.5999640879,17071.1999333409,17943.1999839045,17357.1999416985,18035.7999544472,17423.5999717902,14308.5999786349,11696.3999832957,12015.8999401251,12488.0999634606,13742.2999249662,14477.699859394,14501.0999470172,16939.2000139921,20181.4999335733,22469.0000204586,24418.0999342881,24216.4999917563,25061.4999441656,25694.4999445232,25799.499943546,27235.2999309232,24123.1998841371,23629.2998972164,22565.9999553886,21689.3999248651,23049.5999384432,20181.4999693856,19822.4999300115,20216.3999131388,20516.099880583,22109.7998370353,18720.6998806375,18399.8999134907,17939.4998996538,18221.6999074535,19900.6998861641,18046.7998837803,18106.1999244654,18029.7999423618,18195.9999286618,19668.9999113188,17860.4999599157,18356.9998801717,18016.0999575182,17161.6999226867,17544.1999148664,16276.5999586554,16639.9998678986,15725.9999607335,15393.5999636657,16084.4999591854,15116.7000001532,15836.7999589357,15376.6999259784,12190.5999664827
2008,10785.3999772058,11013.1999867859,12712.3999807442,14557.7999761713,15394.9999778337,15814.1999772099,19714.1999780737,24186.5999618909,26839.599976319,28863.399967919,27212.1999939837,27780.3999747219,27105.0000006752,26647.79997776,26885.5999785833,23243.3999730011,22661.2000030333,21348.9999706154,20343.3999601913,20773.1999518471,18251.9999422026,17885.7999470855,18163.7999283433,18685.5999406324,19560.1998944388,17022.9999360508,16961.7999340692,16459.9999473109,16391.3999590968,17541.3999155718,16927.9999490271,16774.7999469669,17197.5999266382,17772.1999354744,18986.1999476911,17925.7999337165,18897.3999420133,18797.7999335513,18083.7999532381,18669.7999362825,17735.7999419796,18016.3999201448,17803.3999760586,17383.7999555606,18260.7999892696,17761.7999611323,18494.1999696315,17975.3999811935,14424.3999857566,11565.5999888638,11927.5999600834,12434.3999756404,13698.1999499775,14475.7999062627,14538.3999646781,17058.8000093281,20348.9999557155,22771.000013639,24690.3999561921,24568.9999945042,25376.9999627771,25823.9999630155,25718.999962364,27069.1999539488,24131.7999227581,23628.1999314776,22504.999970259,21504.5999499101,22727.3999589622,19852.9999795904,19568.999953341,20005.5999420925,20386.3999203887,21863.1998913569,18494.799920425,18104.5999423271,17695.9999331025,17963.7999383024,19635.7999241094,17922.1999225202,17897.7999496436,17901.1999615745,18069.9999524412,19547.9999408792,17735.9999732771,18132.9999201144,17781.3999716788,17404.7999484578,17850.7999432443,16541.3999724369,16840.9999119324,16033.9999738224,15748.3999757771,16426.9999727903,15489.8000001022,16285.1999726238,15884.7999506523,12281.3999776552
2009,10683.1999886029,10902.599993393,12737.6999903721,14603.8999880856,15475.4999889169,15947.599988605,19925.5999890368,24576.2999809454,27358.7999881595,29411.1999839595,27794.0999969918,28285.1999873609,27427.5000003377,26687.39998888,26836.2999892917,23275.6999865005,22694.6000015167,21373.9999853077,20261.1999800956,20594.0999759235,17975.9999711013,17636.3999735428,17938.8999641717,18495.2999703162,19294.5999472194,16714.9999680254,16521.3999670346,16026.4999736554,15969.1999795484,17075.6999577859,16580.4999745136,16366.8999734834,16847.2999633191,17468.0999677372,18653.0999738455,17581.3999668583,18506.6999710067,18404.3999667757,18149.899976619,18838.3999681412,17901.8999709898,18117.1999600724,18091.1999880293,17696.3999777803,18578.3999946348,18166.3999805662,18952.5999848157,18527.1999905967,14540.1999928783,11434.7999944319,11839.2999800417,12380.6999878202,13654.0999749888,14473.8999531313,14575.6999823391,17178.4000046641,20516.4999778578,23073.0000068195,24962.699978096,24921.4999972521,25692.4999813885,25953.4999815077,25638.499981182,26903.0999769744,24140.399961379,23627.0999657388,22443.9999851295,21319.7999749551,22405.1999794811,19524.4999897952,19315.4999766705,19794.7999710463,20256.6999601944,21616.5999456784,18268.8999602125,17809.2999711636,17452.4999665513,17705.8999691512,19370.8999620547,17797.5999612601,17689.3999748218,17772.5999807873,17943.9999762206,19426.9999704396,17611.4999866386,17908.9999600572,17546.6999858394,17647.8999742289,18157.3999716221,16806.1999862185,17041.9999559662,16341.9999869112,16103.1999878886,16769.4999863951,15862.9000000511,16733.5999863119,16392.8999753261,12372.1999888276
2010,10581,10792,12763,14650,15556,16081,20137,24966,27878,29959,28376,28790,27750,26727,26787,23308,22728,21399,20179,20415,17700,17387,17714,18305,19029,16407,16081,15593,15547,16610,16233,15959,16497,17164,18320,17237,18116,18011,18216,19007,18068,18218,18379,18009,18896,18571,19411,19079,14656,11304,11751,12327,13610,14472,14613,17298,20684,23375,25235,25274,26008,26083,25558,26737,24149,23626,22383,21135,22083,19196,19062,19584,20127,21370,18043,17514,17209,17448,19106,17673,17481,17644,17818,19306,17487,17685,17312,17891,18464,17071,17243,16650,16458,17112,16236,17182,16901,12463
2011,10573.6399203787,10786.4926859937,12789.9847694652,14699.0085421409,15601.6612699677,16141.8464960547,20254.7925095677,25133.1129658763,28067.240434067,30171.0173191139,28574.7657142271,29004.198357983,27955.0965428025,26900.968434193,26960.8673279745,23455.2440828506,22872.6574691825,21514.7607568251,20279.8497191793,20505.2781046233,17781.754602129,17445.5415290976,17771.7345484838,18366.0608767179,19090.7255224978,16444.3369098372,16111.6896066389,15612.2742880065,15553.1938924049,16616.9651204594,16241.5121236124,15953.7607307207,16491.1096072499,17144.0255701649,18300.9611072796,17217.0139025596,18078.3584434476,17982.8708847156,18184.6954955157,18962.2476920348,18032.3458035452,18180.3204460387,18334.7740520569,17959.553489357,18844.2669493138,18511.8926188682,19351.6323204811,19024.540564437,14612.6813794578,11300.9558999133,11738.1351093677,12350.7503368253,13645.4649964897,14516.7200646417,14662.126738219,17388.8613340662,20817.1334672501,23556.4639507013,25421.7414862533,25474.4580301246,26207.1686848013,26297.9478754621,25749.7294532778,26928.9761281158,24329.6888213769,23768.2304586481,22531.4058461948,21260.3881509453,22220.8356250556,19294.4899665783,19171.6974859444,19668.4339826819,20209.4538813036,21450.4866802736,18119.0015386557,17560.7084393783,17248.6005794369,17489.8322168877,19136.6183539845,17688.0554900432,17495.0193698524,17647.6884523434,17819.9459283984,19297.2454895089,17474.4428660443,17672.9150740087,17286.9427090226,17867.601743279,18444.689094278,17056.0685531924,17224.3687807157,16620.5956374902,16426.6758327221,17077.0419494731,16201.0814523766,17131.2304316703,16858.9376827555,12428.9721194401
2012,10566.2798407574,10780.9853719875,12816.9695389304,14748.0170842818,15647.3225399353,16202.6929921094,20372.5850191354,25300.2259317526,28256.4808681341,30383.0346382278,28773.531428454,29218.396715966,28160.193085605,27074.936868386,27134.7346559491,23602.4881657012,23017.3149383649,21630.5215136503,20380.6994383587,20595.5562092466,17863.5092042581,17504.0830581953,17829.4690969676,18427.1217534359,19152.4510449955,16481.6738196744,16142.3792132777,15631.5485760129,15559.3877848098,16623.9302409188,16250.0242472248,15948.5214614414,16485.2192144997,17124.0511403298,18281.9222145592,17197.0278051193,18040.7168868951,17954.7417694311,18153.3909910314,18917.4953840695,17996.6916070904,18142.6408920774,18290.5481041137,17910.1069787141,18792.5338986277,18452.7852377364,19292.2646409621,18970.081128874,14569.3627589156,11297.9117998266,11725.2702187353,12374.5006736507,13680.9299929794,14561.4401292833,14711.253476438,17479.7226681324,20950.2669345002,23737.9279014027,25608.4829725065,25674.9160602491,26406.3373696027,26512.8957509243,25941.4589065557,27120.9522562317,24510.3776427538,23910.4609172962,22679.8116923896,21385.7763018906,22358.6712501112,19392.9799331566,19281.3949718888,19752.8679653638,20291.9077626071,21530.9733605472,18195.0030773114,17607.4168787566,17288.2011588738,17531.6644337754,19167.236707969,17703.1109800863,17509.0387397048,17651.3769046868,17821.8918567967,19288.4909790178,17461.8857320886,17660.8301480174,17261.8854180452,17844.2034865581,18425.3781885561,17041.1371063847,17205.7375614313,16591.1912749804,16395.3516654441,17042.0838989462,16166.1629047533,17080.4608633406,16816.8753655111,12394.9442388803
