Precinct,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,40656.58021,42114.04434,43571.50847,45028.9726,46486.43673,47943.90086,49401.36499,50858.82912,52316.29325,53773.75739,55231.22152,58125.55034,60674.81942,65423.72092,67423.41582,69133.04226
5,56564.13737,56503.72213,56443.30689,56382.89166,56322.47642,56262.06118,56201.64595,56141.23071,56080.81547,56020.40024,55959.985,52814.5744,51907.01087,51363.52934,50240.50996,50759.99546
6,63113.05548,62984.2535,62855.45153,62726.64956,62597.84758,62469.04561,62340.24364,62211.44166,62082.63969,61953.83772,61825.03574,61663.38634,61301.05579,60298.62635,61204.61014,60487.7699
7,59795.81766,59684.58554,59573.35342,59462.1213,59350.88918,59239.65706,59128.42495,59017.19283,58905.96071,58794.72859,58683.49647,56937.94193,56569.6173,57837.99907,56923.65383,57806.4132
9,71548.3012,71655.26166,71762.22212,71869.18258,71976.14304,72083.1035,72190.06397,72297.02443,72403.98489,72510.94535,72617.90581,74996.51058,76918.98426,77700.4214,77373.50866,76738.9227
10,37243.70962,37834.61187,38425.51413,39016.41639,39607.31865,40198.22091,40789.12317,41380.02543,41970.92768,42561.82994,43152.7322,44961.79023,45419.85487,48323.42465,51212.03366,52702.44389
13,85100.18669,86026.07543,86951.96416,87877.8529,88803.74163,89729.63037,90655.5191,91581.40784,92507.29657,93433.18531,94359.07404,93467.40519,93586.62925,96029.81864,94588.83032,94685.02991
14,21283.1173,21523.66173,21764.20615,22004.75058,22245.29501,22485.83944,22726.38387,22966.9283,23207.47273,23448.01716,23688.56159,23863.60604,24171.61565,24255.24641,24281.33007,24355.83968
17,71888.36631,71811.96127,71735.55623,71659.1512,71582.74616,71506.34112,71429.93608,71353.53104,71277.12601,71200.72097,71124.31593,70728.26595,71061.73512,70394.29488,70575.84734,72011.48159
18,52887.53202,53218.47975,53549.42748,53880.37521,54211.32294,54542.27067,54873.2184,55204.16613,55535.11386,55866.06159,56197.00932,56351.12433,55660.54431,54231.10109,54840.26776,55655.26535
19,207534.4817,207349.0082,207163.5347,206978.0612,206792.5877,206607.1143,206421.6408,206236.1673,206050.6938,205865.2203,205679.7469,204353.7378,205104.6639,203197.2194,206861.718,208416.6866
20,97783.64543,98233.50013,98683.35482,99133.20952,99583.06421,100032.9189,100482.7736,100932.6283,101382.483,101832.3377,102282.1924,100884.9796,100711.0438,100846.6539,100425.6522,99768.33179
22,22.975063,22.5987485,22.222434,21.8461195,21.469805,21.0934905,20.717176,20.3408615,19.964547,19.5882325,19.211918,19.224161,7.231596,8.374745,9.525082,10.462729
23,71543.46134,71951.4297,72359.39806,72767.36642,73175.33478,73583.30314,73991.2715,74399.23986,74807.20822,75215.17658,75623.14494,74725.46719,75363.12205,73737.56912,73873.26284,74454.92875
24,109084.9888,108988.8374,108892.686,108796.5345,108700.3831,108604.2317,108508.0802,108411.9288,108315.7773,108219.6259,108123.4745,108027.4653,108340.3686,109052.0783,109532.1779,107939.1165
25,46154.76289,46590.3473,47025.93172,47461.51614,47897.10055,48332.68497,48768.26938,49203.8538,49639.43821,50075.02263,50510.60705,49952.27593,49269.53677,48306.05271,49953.27058,50389.40939
26,49006.69441,48715.85382,48425.01323,48134.17264,47843.33204,47552.49145,47261.65086,46970.81027,46679.96968,46389.12908,46098.28849,48525.04908,49371.82086,50487.20474,49931.17572,50724.83388
28,41237.74247,41766.70449,42295.6665,42824.62852,43353.59054,43882.55256,44411.51457,44940.47659,45469.43861,45998.40062,46527.36264,47630.63843,49420.09098,50994.07716,51677.75629,52222.68376
