"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
"2003",220,207,247,254,278,162,170,141,118,132,111,110,92,75,117,81,94,98,118,129,111,102,117,100,154,92,106,101,57,77,58,34,41,30,32,25,21,19,13,13,4,8,11,6,3,6,7,4,0,3245,3972,4497,4394,5119,3363,3646,3400,2450,2841,1906,1705,1553,1253,1630,1143,1242,1228,1034,1184,887,932,963,960,1222,782,911,851,675,679,521,520,437,366,386,258,278,267,182,229,127,126,100,97,99,61,67,65,29
"2004",370,465,540,510,510,377,347,339,344,319,254,234,196,200,242,160,212,179,224,288,267,240,272,273,315,249,240,213,224,195,147,123,114,91,83,53,51,63,51,31,29,27,25,9,13,7,14,9,5,6502,7662,8230,8229,8572,6503,6238,6407,5734,4967,3738,3316,3123,2812,3071,2099,2095,2471,2441,2359,1829,1869,1961,2083,2418,1824,1739,1916,1785,1486,1192,1173,973,1002,878,563,614,657,602,452,326,333,254,262,237,158,149,155,129
"2005",516,580,686,621,626,463,435,380,415,460,282,286,278,264,347,211,218,216,262,306,290,284,270,363,363,318,276,259,264,267,189,186,146,128,118,90,89,55,65,61,45,33,33,24,28,13,14,12,11,8374,9749,10353,9909,10774,7920,7275,6798,6801,7461,4803,4261,3796,3589,4239,2710,2555,2384,2768,3185,2442,2331,2430,2598,3220,2468,2489,2187,2343,2471,1747,1563,1452,1475,1548,1022,875,747,896,827,600,472,376,355,336,228,259,195,152
"2006",917,893,1006,881,903,708,582,557,549,645,547,429,369,377,503,281,292,273,266,403,413,342,336,384,473,389,384,371,321,376,349,245,225,199,198,128,136,81,66,111,86,45,44,51,39,24,23,10,13,12813,13756,14689,14256,15055,11601,9909,9341,8828,10394,8771,6063,5762,5242,6015,3970,3551,3194,3252,4243,3935,3306,3301,3469,4265,3514,3463,3245,3221,3770,3214,2419,2265,2077,2211,1587,1400,1139,1015,1111,1065,764,610,545,494,382,338,266,218
"2007",668,829,857,820,917,689,651,551,563,588,533,529,400,366,482,312,336,275,266,288,341,352,301,358,401,323,345,391,359,383,308,316,194,198,158,127,131,105,86,73,96,75,45,42,37,30,15,12,11,10072,12163,12280,13045,13037,10337,9505,8330,8044,8702,8317,7759,5615,5318,5624,3961,3858,3161,3026,3327,3519,3465,2974,3034,3554,3026,3421,3170,2985,3043,3143,3068,2275,2117,2183,1638,1563,1223,1096,1030,977,899,628,530,501,347,314,290,224
"2008",782,990,1132,979,1023,792,731,653,578,638,547,539,474,435,493,339,346,288,280,363,245,330,351,337,448,328,360,335,385,364,357,327,266,235,241,121,130,123,100,79,62,73,59,51,33,31,23,14,15,10412,14575,15927,15116,15248,12400,11413,10052,8761,9348,8040,8011,7660,5911,6284,4515,4320,3752,3405,3369,3066,3604,3506,3214,3669,3096,3481,3564,3458,3244,3006,3393,3095,2477,2452,1990,1765,1534,1219,1087,958,1000,824,663,558,426,362,312,287
"2009",867,998,1075,1142,1036,867,749,660,676,595,524,501,515,497,470,371,361,322,301,320,263,239,303,354,407,305,351,353,344,330,291,265,291,250,214,179,156,150,117,102,69,67,58,53,42,30,25,15,10,12450,14810,18287,18407,17509,14808,12902,11650,11031,10478,9021,8550,8669,7804,6761,5635,5254,4340,4161,3819,3351,3272,3664,3867,3867,3190,3307,3489,3635,3614,3084,2975,3336,3250,2687,2094,2049,1670,1581,1470,964,948,923,840,637,462,412,326,257
"2010",1027,1032,1086,1103,1170,978,867,720,703,701,618,552,431,497,559,388,383,331,310,386,268,289,239,323,397,285,321,288,365,352,315,301,265,241,275,197,190,133,130,109,84,74,62,51,51,38,38,18,12,13051,15202,16818,17909,18179,15470,13414,11396,10665,10817,8761,8383,7984,7878,7933,5604,5634,4862,4387,4191,3415,3248,3227,3543,3910,3129,3264,3174,3380,3547,3267,3251,3034,3013,3179,2282,2160,1928,1810,1517,1206,1023,914,873,784,533,464,353,308
"2011",1292,1237,1328,1118,1267,1114,934,806,737,756,642,574,535,487,562,480,408,366,349,293,281,253,280,283,354,314,317,302,314,331,274,307,272,306,292,239,186,154,164,131,108,84,72,49,54,48,20,27,24,16794,18770,19613,18504,19933,18622,14755,12911,11165,11152,9751,8629,8125,7570,8173,6979,5797,5109,4835,4781,4022,3327,3337,3323,3996,3621,3320,3452,3181,3561,3449,3304,3188,3097,3340,3017,2567,2283,1964,1743,1553,1226,923,920,824,728,614,455,433
"2012",1160,1102,1064,1004,1061,999,901,712,700,677,586,469,429,409,414,366,386,334,294,284,233,246,229,214,256,214,268,259,242,259,219,228,245,248,221,191,173,126,130,87,104,66,60,50,44,31,35,24,16,12755,14633,14723,14748,14526,13935,13581,10648,9500,9325,7966,7173,6591,6459,6292,5539,5507,4478,4091,3974,3215,2964,2652,2620,2768,2853,2970,2579,2653,2692,2609,2658,2654,2605,2583,2443,2376,1964,1713,1618,1400,1103,872,721,678,569,529,414,356
"2013",338,380,406,342,365,347,341,299,246,253,196,178,175,148,185,120,133,128,106,116,74,79,92,72,77,73,86,75,90,86,83,93,80,88,100,62,84,56,51,46,35,20,27,14,18,2,12,5,6,4176,4727,5403,5220,5341,4694,5053,4406,3876,3607,3034,2859,2552,2399,2576,1991,2158,1818,1594,1607,1316,1192,1054,937,1049,845,1144,954,958,931,916,960,950,971,959,757,945,781,632,554,495,400,327,283,201,162,198,150,115
"2014",62,53,64,59,80,74,48,55,47,57,46,39,39,24,33,45,20,29,27,21,14,22,21,22,15,17,18,11,12,16,16,22,15,26,17,26,19,17,15,9,3,5,4,6,2,5,1,0,1,955,1127,1400,1322,1357,1172,1054,1091,1023,940,766,687,600,538,613,451,435,408,403,325,312,272,285,251,242,186,178,220,221,193,176,190,208,209,189,195,162,169,142,113,107,93,74,55,58,39,37,24,24
"2015",38,24,36,37,54,45,44,32,36,46,21,28,20,11,19,9,22,14,7,15,4,16,10,9,11,6,13,8,5,6,6,7,2,6,7,8,5,3,4,7,2,2,2,4,1,3,1,2,0,506,483,575,597,720,523,588,511,545,545,392,333,323,287,306,226,214,176,191,206,148,135,117,114,122,89,73,74,96,95,83,69,79,71,86,84,64,63,68,70,44,36,37,27,25,22,13,11,7
"2016",18,27,20,26,22,29,17,28,10,17,16,10,16,10,14,3,7,10,5,7,6,6,3,9,5,4,4,3,2,10,6,5,4,3,3,1,2,3,5,1,3,0,1,0,1,0,0,0,0,283,281,325,340,346,266,253,257,226,252,198,191,159,141,168,125,123,117,100,103,128,75,83,83,70,62,55,76,47,45,50,46,42,37,62,38,40,34,40,45,31,31,22,22,17,16,10,11,9
