"","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40","M41","M42","M43","M44","M45","M46","M47","M48","M49","M50","M51","M52","M53","M54","M55","M56","M57","M58","M59","M60","M61","M62","M63","M64"
"2003",92,89,90,67,84,65,60,58,32,42,20,32,32,32,36,29,20,35,44,28,33,31,29,34,24,20,38,26,13,25,12,19,17,10,17,11,13,9,8,14,14,3,8,5,6,1,4,2,1,789,1035,1013,876,918,689,715,605,424,460,364,335,281,264,378,254,307,297,294,293,245,236,261,230,268,219,231,201,148,182,139,128,116,94,123,91,114,106,72,85,50,51,39,30,35,13,22,17,11
"2004",145,157,163,171,139,103,126,107,79,75,68,48,67,42,74,43,56,55,60,66,49,47,49,50,64,36,54,43,39,39,30,32,25,26,26,16,8,9,17,11,5,12,8,18,14,3,2,7,2,1126,1328,1510,1428,1353,1005,912,1099,909,743,624,576,485,482,542,399,359,485,486,519,447,426,421,435,496,347,338,361,341,301,274,249,229,212,234,164,159,163,160,143,97,83,78,67,72,52,46,43,44
"2005",191,197,212,208,212,139,137,142,159,131,103,85,77,77,99,73,62,66,69,91,65,58,44,56,99,64,63,61,53,63,37,45,36,39,46,30,23,23,40,27,15,10,12,13,13,11,10,9,3,1615,1974,2160,2117,1843,1484,1406,1193,1251,1225,858,808,769,710,814,593,577,550,638,757,573,486,508,546,652,449,416,391,489,470,348,340,332,327,326,213,250,241,218,189,163,127,126,85,104,65,60,62,59
"2006",257,308,315,260,269,216,184,159,166,191,181,128,123,99,114,91,97,87,77,118,127,87,78,84,111,109,81,77,81,89,85,60,50,43,70,50,48,37,25,26,25,27,16,22,15,9,12,9,8,2381,2807,3082,2862,2609,2049,1798,1609,1421,1806,1543,1175,1126,1049,1089,835,749,735,714,895,875,717,734,771,893,654,703,638,601,724,631,507,480,478,491,345,310,276,281,275,237,200,162,180,158,103,88,99,66
"2007",256,317,311,261,273,239,173,183,174,191,152,144,117,101,126,77,78,81,78,90,96,116,99,85,121,81,81,93,74,85,64,65,60,55,52,53,35,39,35,16,32,22,19,19,26,9,9,9,6,2140,2995,3204,2914,2622,2173,1896,1716,1564,1541,1532,1356,1098,988,1073,769,813,695,657,735,778,810,656,755,804,608,660,616,634,633,578,564,445,490,436,340,331,322,283,296,244,222,181,177,138,95,88,77,65
"2008",265,366,392,378,328,266,234,215,228,197,160,191,162,121,137,101,85,98,86,93,81,95,116,110,118,86,91,108,86,83,77,69,77,61,75,57,57,29,31,40,26,38,18,17,20,15,8,10,12,2030,3106,3516,3271,2864,2273,2086,1842,1618,1623,1442,1551,1332,1138,1232,930,845,800,785,762,719,845,796,733,871,718,721,662,650,714,626,595,566,524,496,385,392,337,337,319,246,262,239,181,161,130,109,70,62
"2009",216,247,344,316,305,244,231,212,185,174,127,145,159,132,95,103,88,80,99,89,72,77,86,97,91,89,90,78,70,90,67,58,63,60,52,46,39,32,27,29,32,22,25,20,19,11,15,13,8,1729,2387,3130,3222,2895,2340,2145,1776,1738,1542,1413,1331,1374,1274,1076,937,846,784,729,696,643,705,713,757,732,724,679,655,645,660,595,535,560,567,425,389,368,344,290,260,255,193,217,177,126,85,107,77,75
"2010",216,233,315,316,309,276,238,214,210,159,164,168,154,157,151,114,112,110,68,97,83,68,76,92,113,78,73,68,78,75,57,64,74,74,61,42,39,32,45,38,22,31,15,33,34,15,17,18,18,1721,2352,2676,2936,2794,2440,2242,1884,1811,1660,1435,1415,1356,1302,1260,989,992,865,818,789,661,645,651,739,827,650,693,671,660,669,573,607,521,591,561,435,443,343,347,306,283,225,192,199,196,122,113,104,94
"2011",222,290,341,312,379,342,318,271,236,230,201,171,167,168,193,146,116,123,92,116,88,86,77,78,113,93,106,87,92,81,86,82,63,98,82,50,63,36,49,52,35,23,45,31,31,23,15,18,15,1711,2463,2946,3016,3264,2975,2568,2303,2030,2091,1740,1580,1472,1281,1417,1210,1109,958,984,899,800,739,708,720,855,768,725,804,695,677,644,638,560,566,644,507,511,406,374,346,299,272,219,216,196,188,152,129,109
"2012",191,177,251,251,270,305,235,209,181,170,173,153,136,128,128,115,140,106,90,98,81,65,60,44,59,61,82,72,74,65,50,78,37,71,57,44,53,34,28,33,22,32,28,26,18,14,26,14,15,1447,1911,2302,2407,2387,2468,2275,2061,1832,1639,1380,1403,1209,1185,1149,1028,1075,821,765,740,594,603,539,546,614,575,679,572,563,564,497,469,495,478,474,433,458,325,293,316,245,249,180,184,179,134,151,82,85
